Unnamed: 0,Date,Open,High,Low,Close,Volume,Market.Cap,coin,Delta
68897,2018-01-10,6.86,6.94,6.22,6.69,"2,742,700","168,411,000",PPC,-0.0247813411078717
68898,2018-01-09,6.23,7.11,6.22,6.84,"4,227,200","153,131,000",PPC,0.0979133226324237
68899,2018-01-08,6.41,6.52,5.66,6.26,"3,644,850","157,501,000",PPC,-0.0234009360374416
68900,2018-01-07,6.32,6.6,6.04,6.43,"3,608,310","155,114,000",PPC,0.0174050632911391
68901,2018-01-06,5.7,6.35,5.45,6.35,"1,761,290","139,926,000",PPC,0.114035087719298
68902,2018-01-05,5.5,5.75,5.42,5.68,"1,918,520","135,108,000",PPC,0.0327272727272727
68903,2018-01-04,5.79,5.79,5.23,5.51,"1,826,520","142,251,000",PPC,-0.0483592400690847
68904,2018-01-03,5.48,5.96,5.4,5.74,"3,649,570","134,440,000",PPC,0.0474452554744525
68905,2018-01-02,4.59,5.89,4.59,5.43,"6,897,260","112,780,000",PPC,0.183006535947712
68906,2018-01-01,4.5,4.87,4.28,4.59,"1,473,370","110,547,000",PPC,0.02
68907,2017-12-31,4.2,4.64,4.08,4.48,"1,388,080","102,995,000",PPC,0.0666666666666667
68908,2017-12-30,4.6,4.63,3.92,4.24,"2,093,460","112,907,000",PPC,-0.0782608695652173
68909,2017-12-29,4.63,4.88,4.54,4.62,"1,968,370","113,632,000",PPC,-0.00215982721382285
68910,2017-12-28,4.81,4.82,4.26,4.56,"1,866,110","117,982,000",PPC,-0.051975051975052006
68911,2017-12-27,5.03,5.11,4.58,4.82,"2,024,120","123,492,000",PPC,-0.0417495029821073
68912,2017-12-26,4.86,5.1,4.71,5.03,"2,450,620","119,292,000",PPC,0.0349794238683127
68913,2017-12-25,4.44,4.99,4.33,4.87,"2,821,610","109,022,000",PPC,0.0968468468468468
68914,2017-12-24,4.68,4.69,3.94,4.39,"2,237,460","114,807,000",PPC,-0.06196581196581201
68915,2017-12-23,4.07,5.21,4.01,4.62,"4,173,890","99,823,300",PPC,0.135135135135135
68916,2017-12-22,5.17,5.21,3.28,4.04,"5,886,610","126,758,000",PPC,-0.21856866537717604
68917,2017-12-21,5.72,6.12,5.0,5.14,"5,182,820","140,334,000",PPC,-0.10139860139860099
68918,2017-12-20,5.92,6.15,5.34,5.73,"6,504,460","145,163,000",PPC,-0.0320945945945945
68919,2017-12-19,6.68,6.78,5.7,5.89,"7,803,620","163,824,000",PPC,-0.118263473053892
68920,2017-12-18,5.72,6.83,5.55,6.65,"7,024,760","140,365,000",PPC,0.162587412587413
68921,2017-12-17,5.87,6.07,5.41,5.69,"5,113,420","143,822,000",PPC,-0.0306643952299829
68922,2017-12-16,4.18,6.02,4.18,5.82,"8,978,460","102,554,000",PPC,0.392344497607656
68923,2017-12-15,4.49,4.52,3.98,4.18,"2,532,540","109,966,000",PPC,-0.06904231625835201
68924,2017-12-14,4.02,4.62,3.98,4.5,"5,298,770","98,403,300",PPC,0.11940298507462699
68925,2017-12-13,3.56,4.3,3.43,4.03,"6,059,040","87,278,100",PPC,0.132022471910112
68926,2017-12-12,3.46,3.69,3.17,3.57,"3,354,130","84,793,700",PPC,0.0317919075144508
68927,2017-12-11,3.04,3.82,3.03,3.47,"3,554,860","74,490,400",PPC,0.14144736842105302
68928,2017-12-10,3.21,3.26,2.94,3.06,"1,568,200","78,690,700",PPC,-0.0467289719626168
68929,2017-12-09,3.21,3.43,2.94,3.2,"2,104,980","78,625,600",PPC,-0.00311526479750772
68930,2017-12-08,2.93,3.34,2.75,3.24,"3,011,420","71,859,600",PPC,0.10580204778157001
68931,2017-12-07,3.05,3.58,2.81,2.97,"3,620,640","74,741,500",PPC,-0.0262295081967212
68932,2017-12-06,3.28,3.35,3.01,3.08,"3,522,130","80,231,300",PPC,-0.0609756097560975
68933,2017-12-05,3.5,3.58,3.26,3.28,"2,755,280","85,752,000",PPC,-0.0628571428571429
68934,2017-12-04,3.35,3.6,3.27,3.5,"2,683,470","81,964,700",PPC,0.044776119402985
68935,2017-12-03,3.54,3.67,3.18,3.35,"3,152,620","86,566,900",PPC,-0.0536723163841808
68936,2017-12-02,3.7,3.71,3.38,3.51,"2,455,030","90,669,200",PPC,-0.0513513513513515
68937,2017-12-01,3.2,3.73,2.9,3.7,"3,632,580","78,282,200",PPC,0.15625
68938,2017-11-30,3.23,3.79,2.77,3.23,"4,674,400","79,131,500",PPC,0.0
68939,2017-11-29,2.39,4.43,2.39,3.21,"16,859,100","58,452,500",PPC,0.343096234309623
68940,2017-11-28,2.14,2.52,2.1,2.41,"2,234,600","52,438,000",PPC,0.12616822429906502
68941,2017-11-27,1.89,2.18,1.82,2.13,"2,133,480","46,338,200",PPC,0.126984126984127
68942,2017-11-26,1.97,1.99,1.88,1.91,"635,862","48,231,700",PPC,-0.0304568527918782
68943,2017-11-25,1.78,1.98,1.75,1.98,"723,966","43,496,300",PPC,0.11235955056179801
68944,2017-11-24,1.74,1.78,1.71,1.78,"716,486","42,460,300",PPC,0.0229885057471265
68945,2017-11-23,1.7,1.76,1.65,1.74,"1,078,410","41,667,000",PPC,0.0235294117647059
68946,2017-11-22,1.52,1.74,1.52,1.7,"827,815","37,224,600",PPC,0.11842105263157901
68947,2017-11-21,1.58,1.6,1.5,1.52,"458,434","38,730,000",PPC,-0.0379746835443038
68948,2017-11-20,1.57,1.61,1.54,1.58,"377,150","38,363,600",PPC,0.0063694267515923605
68949,2017-11-19,1.62,1.64,1.56,1.57,"527,524","39,622,300",PPC,-0.0308641975308642
68950,2017-11-18,1.68,1.68,1.56,1.62,"723,615","41,065,800",PPC,-0.0357142857142856
68951,2017-11-17,1.6,1.83,1.6,1.69,"1,693,130","39,077,800",PPC,0.0562499999999999
68952,2017-11-16,1.5,1.81,1.46,1.59,"716,526","36,557,700",PPC,0.0600000000000001
68953,2017-11-15,1.47,1.53,1.46,1.48,"422,057","35,910,800",PPC,0.00680272108843538
68954,2017-11-14,1.49,1.53,1.46,1.47,"413,628","36,471,000",PPC,-0.0134228187919463
68955,2017-11-13,1.41,1.5,1.4,1.49,"651,810","34,401,900",PPC,0.0567375886524823
68956,2017-11-12,1.44,1.51,1.35,1.4,"930,811","35,217,800",PPC,-0.0277777777777778
68957,2017-11-11,1.4,1.5,1.38,1.44,"941,496","34,264,700",PPC,0.0285714285714286
68958,2017-11-10,1.65,1.7,1.37,1.42,"988,942","40,270,600",PPC,-0.13939393939393901
68959,2017-11-09,1.54,1.69,1.53,1.64,"723,863","37,527,900",PPC,0.0649350649350648
68960,2017-11-08,1.4,1.6,1.39,1.54,"1,075,320","34,254,900",PPC,0.1
68961,2017-11-07,1.33,1.41,1.31,1.41,"392,342","32,408,800",PPC,0.0601503759398495
68962,2017-11-06,1.36,1.38,1.29,1.33,"269,424","33,281,600",PPC,-0.0220588235294118
68963,2017-11-05,1.37,1.42,1.33,1.36,"245,093","33,401,900",PPC,-0.007299270072992709
68964,2017-11-04,1.24,1.49,1.21,1.37,"545,068","30,186,000",PPC,0.10483870967741901
68965,2017-11-03,1.26,1.29,1.21,1.24,"217,274","30,710,400",PPC,-0.0158730158730159
68966,2017-11-02,1.35,1.36,1.19,1.25,"467,073","33,044,400",PPC,-0.0740740740740741
68967,2017-11-01,1.32,1.49,1.26,1.36,"1,061,490","32,140,100",PPC,0.0303030303030303
68968,2017-10-31,1.16,1.47,1.16,1.31,"589,024","28,291,300",PPC,0.129310344827586
68969,2017-10-30,1.18,1.2,1.14,1.17,"156,116","28,725,300",PPC,-0.00847457627118645
68970,2017-10-29,1.19,1.23,1.18,1.2,"121,288","28,936,100",PPC,0.00840336134453782
68971,2017-10-28,1.19,1.21,1.16,1.19,"110,604","29,073,600",PPC,0.0
68972,2017-10-27,1.18,1.21,1.14,1.19,"112,845","28,740,200",PPC,0.00847457627118645
68973,2017-10-26,1.21,1.23,1.14,1.19,"96,534","29,415,200",PPC,-0.0165289256198347
68974,2017-10-25,1.21,1.26,1.16,1.21,"178,149","29,505,400",PPC,0.0
68975,2017-10-24,1.17,1.26,1.13,1.23,"236,694","28,585,300",PPC,0.0512820512820513
68976,2017-10-23,1.25,1.25,1.15,1.18,"160,342","30,431,200",PPC,-0.055999999999999994
68977,2017-10-22,1.26,1.28,1.21,1.25,"143,803","30,827,600",PPC,-0.007936507936507941
68978,2017-10-21,1.25,1.33,1.22,1.26,"254,340","30,445,000",PPC,0.008000000000000009
68979,2017-10-20,1.2,1.48,1.19,1.25,"1,119,200","29,328,400",PPC,0.0416666666666667
68980,2017-10-19,1.14,1.23,1.11,1.2,"156,312","27,741,900",PPC,0.0526315789473685
68981,2017-10-18,1.21,1.21,1.08,1.14,"196,030","29,596,500",PPC,-0.0578512396694215
68982,2017-10-17,1.27,1.27,1.2,1.21,"175,301","30,921,200",PPC,-0.047244094488189003
68983,2017-10-16,1.28,1.29,1.25,1.27,"180,760","31,255,700",PPC,-0.007812500000000009
68984,2017-10-15,1.33,1.33,1.25,1.28,"561,379","32,363,400",PPC,-0.037593984962406
