Unnamed: 0,Date,Open,High,Low,Close,Volume,Market.Cap,coin,Delta
580650,2018-01-10,88.65,95.85,71.01,95.85,"243,829",-,DAV,0.08121827411167501
580651,2018-01-09,82.83,90.23,79.17,88.53,"116,853",-,DAV,0.0688156465048896
580652,2018-01-08,85.5,88.59,74.06,83.05,"163,568",-,DAV,-0.028654970760234
580653,2018-01-07,80.85,94.65,80.38,88.39,"69,377",-,DAV,0.0932591218305505
580654,2018-01-06,78.13,94.99,50.28,80.91,"71,797",-,DAV,0.0355817227697428
580655,2018-01-05,97.16,103.58,76.02,78.06,"70,211",-,DAV,-0.19658295594895
580656,2018-01-04,95.52,101.53,86.41,97.14,"107,506",-,DAV,0.0169597989949749
580657,2018-01-03,85.9,103.45,77.92,99.09,"245,089",-,DAV,0.153550640279395
580658,2018-01-02,59.41,87.55,58.0,86.2,"256,973",-,DAV,0.45093418616394604
580659,2018-01-01,58.23,63.46,53.13,59.41,"68,006",-,DAV,0.0202644684870342
580660,2017-12-31,49.84,59.82,48.61,56.96,"150,234",-,DAV,0.14285714285714302
580661,2017-12-30,57.98,58.2,47.43,50.39,"164,784",-,DAV,-0.130907209382546
580662,2017-12-29,40.51,66.39,39.51,58.13,"328,447",-,DAV,0.434954332263639
580663,2017-12-28,35.69,42.85,28.32,40.09,"168,395",-,DAV,0.123283833006445
580664,2017-12-27,23.12,42.47,21.93,34.21,"168,828",-,DAV,0.479671280276817
580665,2017-12-26,19.95,23.12,19.2,23.11,"147,586",-,DAV,0.15839598997493698
580666,2017-12-25,19.72,22.21,17.76,19.97,"22,405",-,DAV,0.0126774847870183
580667,2017-12-24,20.45,23.91,17.18,22.31,"115,683",-,DAV,0.0909535452322738
580668,2017-12-23,16.2,22.63,15.22,20.23,"46,846",-,DAV,0.248765432098766
580669,2017-12-22,17.28,17.46,12.89,15.3,"40,547",-,DAV,-0.11458333333333301
580670,2017-12-21,16.48,19.94,14.68,17.22,"179,677",-,DAV,0.0449029126213591
580671,2017-12-20,22.73,22.73,14.48,16.44,"160,391",-,DAV,-0.276726792784866
580672,2017-12-19,23.9,24.75,19.07,22.75,"108,536",-,DAV,-0.0481171548117154
580673,2017-12-18,23.87,23.87,23.87,23.87,"130,628",-,DAV,0.0
