Unnamed: 0,Date,Open,High,Low,Close,Volume,Market.Cap,coin,Delta
65658,2018-01-10,2.58,2.79,2.17,2.76,"20,790,100","154,383,000",BRD,0.069767441860465
65659,2018-01-09,2.81,2.9,2.46,2.55,"25,680,600","167,767,000",BRD,-0.0925266903914592
65660,2018-01-08,3.22,3.22,2.28,2.87,"35,302,600","192,851,000",BRD,-0.10869565217391301
65661,2018-01-07,3.07,3.43,2.99,3.23,"39,226,600","183,557,000",BRD,0.0521172638436483
65662,2018-01-06,3.0,3.44,2.74,3.06,"47,158,500","179,183,000",BRD,0.02
65663,2018-01-05,2.3,3.12,2.28,3.0,"45,972,100","137,539,000",BRD,0.304347826086957
65664,2018-01-04,1.94,2.66,1.94,2.31,"38,218,600","116,096,000",BRD,0.19072164948453602
65665,2018-01-03,1.7,2.01,1.69,1.98,"25,827,800","101,635,000",BRD,0.164705882352941
65666,2018-01-02,1.76,1.87,1.6,1.73,"23,157,100","104,941,000",BRD,-0.0170454545454546
65667,2018-01-01,1.69,1.89,1.61,1.75,"21,491,200","100,913,000",BRD,0.0355029585798817
65668,2017-12-31,1.46,1.71,1.44,1.68,"20,646,500","87,093,000",BRD,0.150684931506849
65669,2017-12-30,1.7,1.7,1.34,1.47,"16,106,000","100,699,000",BRD,-0.135294117647059
65670,2017-12-29,1.71,1.86,1.6,1.7,"22,510,100","101,396,000",BRD,-0.00584795321637427
65671,2017-12-28,1.91,1.98,1.53,1.7,"25,854,800","112,954,000",BRD,-0.109947643979058
65672,2017-12-27,1.71,2.15,1.51,1.97,"38,454,900",-,BRD,0.15204678362573099
65673,2017-12-26,1.76,1.84,1.46,1.66,"27,884,800",-,BRD,-0.0568181818181819
65674,2017-12-25,1.91,2.38,1.72,1.77,"33,254,800",-,BRD,-0.0732984293193717
65675,2017-12-24,1.55,1.98,1.55,1.89,"56,455,400",-,BRD,0.219354838709677
