Unnamed: 0,Date,Open,High,Low,Close,Volume,Market.Cap,coin,Delta
298598,2018-01-10,15.46,17.57,14.03,14.99,"8,923","3,755,340",ACC,-0.0304010349288487
298599,2018-01-09,11.87,18.12,11.87,15.45,"6,091","2,874,870",ACC,0.301600673967987
298600,2018-01-08,10.69,17.76,9.21,11.91,"8,739","2,579,720",ACC,0.114125350795136
298601,2018-01-07,15.61,16.81,10.59,10.6,"19,489","3,751,420",ACC,-0.320948110185778
298602,2018-01-06,12.9,18.57,9.71,15.61,"8,898","3,094,000",ACC,0.210077519379845
298603,2018-01-05,18.15,18.71,12.6,12.83,"17,760","4,335,200",ACC,-0.293112947658402
298604,2018-01-04,12.27,18.36,10.63,17.55,"14,675","2,927,370",ACC,0.430317848410758
298605,2018-01-03,7.58,12.31,7.58,12.25,"20,383","1,803,180",ACC,0.616094986807388
298606,2018-01-02,7.93,10.46,7.22,10.12,"7,648","1,877,750",ACC,0.27616645649432503
298607,2018-01-01,6.83,10.46,6.22,7.92,"11,301","1,600,750",ACC,0.159590043923865
298608,2017-12-31,4.65,6.84,3.86,6.84,"6,674","1,086,110",ACC,0.470967741935484
298609,2017-12-30,4.67,4.74,3.88,4.69,"3,303","1,087,460",ACC,0.00428265524625278
298610,2017-12-29,4.2,5.46,4.18,4.67,"3,531","977,539",ACC,0.11190476190476199
298611,2017-12-28,5.27,5.74,3.57,4.18,"5,394","1,219,000",ACC,-0.206831119544592
298612,2017-12-27,6.19,6.43,3.67,5.28,"5,750","1,429,090",ACC,-0.147011308562197
298613,2017-12-26,4.13,10.98,3.87,6.17,"6,334","947,693",ACC,0.493946731234867
298614,2017-12-25,2.7,5.11,2.7,4.13,"2,791","620,295",ACC,0.529629629629629
298615,2017-12-24,2.98,4.32,2.36,2.69,716,"681,637",ACC,-0.0973154362416108
298616,2017-12-23,2.32,5.37,2.32,2.94,"1,926","530,792",ACC,0.26724137931034503
298617,2017-12-22,3.25,3.26,1.79,2.31,887,"736,732",ACC,-0.28923076923076896
298618,2017-12-21,3.28,3.45,3.14,3.23,35,"730,981",ACC,-0.0152439024390243
298619,2017-12-20,2.8,3.5,2.53,3.27,"1,236","619,373",ACC,0.167857142857143
298620,2017-12-19,3.4,3.74,2.43,2.81,"2,120","747,297",ACC,-0.173529411764706
298621,2017-12-18,3.37,4.35,3.06,3.41,"3,186","738,761",ACC,0.0118694362017804
298622,2017-12-17,4.78,4.89,3.03,3.37,"1,671","1,044,690",ACC,-0.294979079497908
298623,2017-12-16,5.48,5.73,2.51,4.76,"2,824","1,195,210",ACC,-0.131386861313869
298624,2017-12-15,4.16,5.53,3.7,5.47,"4,020","906,012",ACC,0.31490384615384603
298625,2017-12-14,5.17,5.49,3.37,4.16,"1,114","1,122,120",ACC,-0.195357833655706
298626,2017-12-13,5.95,6.08,4.77,5.17,"1,183","1,290,640",ACC,-0.13109243697478998
298627,2017-12-12,4.63,5.98,4.2,5.94,"4,373","1,001,970",ACC,0.282937365010799
298628,2017-12-11,3.95,4.69,3.83,4.66,"1,609","851,540",ACC,0.17974683544303802
298629,2017-12-10,5.27,5.27,3.93,3.94,"1,125","901,011",ACC,-0.25237191650853896
298630,2017-12-09,5.36,5.66,4.15,5.25,"3,110","915,760",ACC,-0.0205223880597016
298631,2017-12-08,5.66,5.67,4.12,5.36,"4,483","967,819",ACC,-0.0530035335689046
298632,2017-12-07,5.09,5.89,4.1,4.12,"5,240","870,070",ACC,-0.19056974459724899
298633,2017-12-06,6.4,6.42,5.0,5.11,"2,665","1,093,790",ACC,-0.2015625
298634,2017-12-05,6.53,6.77,6.4,6.41,"2,822","1,116,950",ACC,-0.0183767228177642
298635,2017-12-04,6.95,7.05,6.33,6.53,"4,532","1,187,310",ACC,-0.060431654676259
298636,2017-12-03,5.81,7.19,5.53,6.93,"5,411","993,760",ACC,0.19277108433734902
298637,2017-12-02,6.47,6.9,5.78,5.81,"10,276","1,105,260",ACC,-0.10200927357032501
