Unnamed: 0,Date,Open,High,Low,Close,Volume,Market.Cap,coin,Delta
574207,2018-01-10,2.45,2.51,2.32,2.41,"1,267,140",-,CMS,-0.0163265306122449
574208,2018-01-09,2.53,2.57,2.44,2.46,"996,300",-,CMS,-0.0276679841897233
574209,2018-01-08,2.5,2.58,2.33,2.53,"1,372,480",-,CMS,0.0119999999999999
574210,2018-01-07,2.61,2.63,2.42,2.49,"1,539,070",-,CMS,-0.0459770114942527
574211,2018-01-06,2.46,2.8,2.31,2.63,"1,885,510",-,CMS,0.0691056910569105
574212,2018-01-05,2.59,2.67,2.43,2.5,"1,263,480",-,CMS,-0.0347490347490347
574213,2018-01-04,2.54,2.92,2.53,2.6,"2,895,320",-,CMS,0.0236220472440945
574214,2018-01-03,2.68,2.99,2.63,2.63,"3,057,260",-,CMS,-0.0186567164179105
574215,2018-01-02,2.53,2.76,2.47,2.66,"1,548,200",-,CMS,0.0513833992094863
574216,2018-01-01,2.59,2.64,2.36,2.6,"1,576,820",-,CMS,0.00386100386100395
574217,2017-12-31,2.09,2.61,2.0,2.57,"3,935,610",-,CMS,0.229665071770335
574218,2017-12-30,2.47,2.49,2.0,2.16,"3,219,750",-,CMS,-0.125506072874494
574219,2017-12-29,2.63,2.65,2.46,2.52,"1,914,560",-,CMS,-0.0418250950570342
574220,2017-12-28,2.72,2.74,2.42,2.61,"1,972,600",-,CMS,-0.0404411764705883
574221,2017-12-27,2.78,3.07,2.53,2.68,"3,656,750",-,CMS,-0.0359712230215826
574222,2017-12-26,2.65,2.91,2.48,2.77,"2,902,600",-,CMS,0.0452830188679246
574223,2017-12-25,2.65,2.81,2.54,2.66,"2,337,460",-,CMS,0.0037735849056604602
574224,2017-12-24,2.92,3.04,2.47,2.66,"3,628,480",-,CMS,-0.0890410958904109
574225,2017-12-23,2.96,3.21,2.66,2.91,"3,990,830",-,CMS,-0.0168918918918918
574226,2017-12-22,3.75,3.75,1.94,2.87,"7,195,360",-,CMS,-0.23466666666666697
574227,2017-12-21,3.89,4.04,3.57,3.75,"6,033,080",-,CMS,-0.0359897172236504
574228,2017-12-20,3.46,4.51,3.14,3.88,"13,360,500",-,CMS,0.12138728323699399
574229,2017-12-19,3.62,3.62,3.41,3.43,"4,519,870",-,CMS,-0.0524861878453039
574230,2017-12-18,3.57,3.82,3.46,3.63,"6,890,140",-,CMS,0.0168067226890756
574231,2017-12-17,3.31,3.7,3.11,3.55,"6,736,800",-,CMS,0.0725075528700906
574232,2017-12-16,3.27,3.53,3.14,3.32,"8,444,250",-,CMS,0.0152905198776758
574233,2017-12-15,2.71,3.38,2.64,3.26,"10,440,500",-,CMS,0.202952029520295
574234,2017-12-14,3.65,3.82,2.76,2.76,"15,098,800",-,CMS,-0.243835616438356
574467,2018-01-10,2.52,2.6,2.33,2.42,"969,041",-,CMS,-0.0396825396825397
574468,2018-01-09,2.62,2.65,2.5,2.59,"606,332",-,CMS,-0.0114503816793894
574469,2018-01-08,2.59,2.65,2.46,2.64,"703,286",-,CMS,0.0193050193050194
574470,2018-01-07,2.69,2.72,2.49,2.58,"897,931",-,CMS,-0.0408921933085501
574471,2018-01-06,2.48,2.82,2.4,2.69,"912,833",-,CMS,0.0846774193548387
574472,2018-01-05,2.67,2.78,2.54,2.55,"926,722",-,CMS,-0.0449438202247191
574473,2018-01-04,2.67,2.98,2.59,2.66,"2,009,590",-,CMS,-0.00374531835205985
574474,2018-01-03,2.75,3.11,2.68,2.68,"1,520,130",-,CMS,-0.0254545454545454
574475,2018-01-02,2.66,2.81,2.57,2.75,"792,005",-,CMS,0.0338345864661654
574476,2018-01-01,2.66,2.67,2.37,2.66,"922,429",-,CMS,0.0
574477,2017-12-31,2.24,2.73,2.04,2.69,"2,218,250",-,CMS,0.20089285714285698
574478,2017-12-30,2.52,2.56,2.05,2.24,"1,787,490",-,CMS,-0.111111111111111
574479,2017-12-29,2.67,2.68,2.49,2.49,"905,883",-,CMS,-0.0674157303370786
574480,2017-12-28,2.74,2.79,2.57,2.65,"960,314",-,CMS,-0.0328467153284673
574481,2017-12-27,2.85,3.14,2.63,2.74,"1,769,990",-,CMS,-0.0385964912280701
574482,2017-12-26,2.72,2.97,2.58,2.83,"1,630,990",-,CMS,0.0404411764705882
574483,2017-12-25,2.74,2.87,2.62,2.73,"1,419,160",-,CMS,-0.0036496350364964296
574484,2017-12-24,2.93,3.05,2.53,2.74,"1,940,160",-,CMS,-0.0648464163822525
574485,2017-12-23,3.01,3.31,2.66,2.91,"1,870,890",-,CMS,-0.0332225913621261
574486,2017-12-22,3.75,3.75,1.98,2.91,"4,584,970",-,CMS,-0.22399999999999998
574487,2017-12-21,3.88,4.01,3.61,3.75,"3,026,500",-,CMS,-0.0335051546391752
574488,2017-12-20,3.68,4.3,3.29,3.88,"7,526,310",-,CMS,0.0543478260869564
574489,2017-12-19,3.78,3.82,3.63,3.66,"3,237,620",-,CMS,-0.0317460317460317
574490,2017-12-18,3.8,4.08,3.59,3.87,"5,502,940",-,CMS,0.018421052631579
574491,2017-12-17,3.46,3.82,3.22,3.73,"4,087,180",-,CMS,0.0780346820809249
574492,2017-12-16,3.36,3.73,3.27,3.45,"4,989,480",-,CMS,0.0267857142857144
574493,2017-12-15,2.84,3.47,2.71,3.35,"5,085,090",-,CMS,0.17957746478873202
574494,2017-12-14,3.68,3.93,2.67,2.8,"7,945,730",-,CMS,-0.23913043478260898
