Unnamed: 0,Date,Open,High,Low,Close,Volume,Market.Cap,coin,Delta
119198,2018-01-10,2.41,2.45,2.07,2.14,"943,699","69,049,300",NEU,-0.112033195020747
119199,2018-01-09,2.3,2.6,2.22,2.4,"1,022,640","65,788,400",NEU,0.0434782608695653
119200,2018-01-08,2.37,2.37,1.88,2.3,"854,782","67,790,200",NEU,-0.0295358649789031
119201,2018-01-07,2.47,2.59,2.17,2.36,"1,118,960","70,937,200",NEU,-0.0445344129554657
119202,2018-01-06,1.6,2.46,1.53,2.46,"952,660","45,866,000",NEU,0.5375
119203,2018-01-05,2.31,2.45,1.54,1.6,"818,143","66,190,400",NEU,-0.307359307359307
119204,2018-01-04,1.62,2.43,1.61,2.31,"789,172","46,418,800",NEU,0.42592592592592604
119205,2018-01-03,0.883395,2.08,0.883395,1.62,"985,179","25,319,900",NEU,0.833834241760481
119206,2018-01-02,0.69977,0.879408,0.69977,0.877453,"534,931",-,NEU,0.253916286779942
119207,2018-01-01,0.816221,0.837915,0.666467,0.699148,"438,869",-,NEU,-0.14343296729684699
119208,2017-12-31,0.437503,0.815443,0.437503,0.812529,"518,622",-,NEU,0.8571964077960609
119209,2017-12-30,0.432729,0.442558,0.392572,0.43821899999999997,"377,516",-,NEU,0.0126869241488323
119210,2017-12-29,0.426167,0.434062,0.42538000000000004,0.43206000000000006,"351,032",-,NEU,0.0138279125319417
