Unnamed: 0,Date,Open,High,Low,Close,Volume,Market.Cap,coin,Delta
97363,2018-01-10,5.64,5.66,5.23,5.53,"692,524","83,040,000",NMC,-0.0195035460992907
97364,2018-01-09,5.7,5.79,5.37,5.65,"789,962","83,985,400",NMC,-0.00877192982456137
97365,2018-01-08,5.64,6.02,5.3,5.71,"1,240,740","83,168,300",NMC,0.0124113475177305
97366,2018-01-07,5.11,5.99,5.01,5.68,"1,386,230","75,358,500",NMC,0.11154598825831698
97367,2018-01-06,4.88,5.19,4.76,5.12,"1,155,950","71,968,500",NMC,0.0491803278688525
97368,2018-01-05,4.7,4.98,4.6,4.86,"685,421","69,234,100",NMC,0.0340425531914894
97369,2018-01-04,4.6,4.73,4.24,4.69,"926,888","67,822,400",NMC,0.0195652173913045
97370,2018-01-03,4.42,4.59,4.35,4.58,"623,829","65,143,600",NMC,0.0361990950226245
97371,2018-01-02,3.95,4.56,3.8,4.44,"1,486,240","58,273,200",NMC,0.124050632911392
97372,2018-01-01,3.96,3.98,3.67,3.93,"290,484","58,416,700",NMC,-0.00757575757575753
97373,2017-12-31,3.83,4.11,3.72,3.95,"359,900","56,420,200",NMC,0.0313315926892951
97374,2017-12-30,4.02,4.09,3.68,3.85,"503,852","59,198,400",NMC,-0.0422885572139302
97375,2017-12-29,4.07,4.14,3.83,4.02,"425,929","59,930,600",NMC,-0.0122850122850125
97376,2017-12-28,4.21,4.22,3.55,4.05,"407,488","62,028,300",NMC,-0.0380047505938243
97377,2017-12-27,4.17,4.33,3.9,4.24,"523,214","61,479,400",NMC,0.0167865707434053
97378,2017-12-26,4.36,4.45,4.1,4.13,"860,779","64,203,800",NMC,-0.0527522935779817
97379,2017-12-25,3.49,4.43,3.39,4.33,"1,753,830","51,420,700",NMC,0.240687679083094
97380,2017-12-24,3.61,3.64,3.13,3.45,"460,657","53,171,900",NMC,-0.0443213296398891
97381,2017-12-23,3.31,4.01,3.21,3.58,"820,809","48,727,600",NMC,0.081570996978852
97382,2017-12-22,4.18,4.2,2.42,3.25,"1,555,800","61,590,700",NMC,-0.222488038277512
97383,2017-12-21,4.22,4.52,3.97,4.16,"1,290,840","62,153,600",NMC,-0.0142180094786729
97384,2017-12-20,4.39,4.39,3.9,4.21,"1,511,110","64,761,400",NMC,-0.041002277904328
97385,2017-12-19,4.96,5.02,4.2,4.4,"1,840,770","73,078,600",NMC,-0.112903225806452
97386,2017-12-18,4.45,5.05,4.09,4.96,"2,748,870","65,593,100",NMC,0.11460674157303401
97387,2017-12-17,4.42,4.53,4.33,4.46,"856,183","65,097,500",NMC,0.00904977375565612
97388,2017-12-16,3.84,4.53,3.72,4.43,"1,619,030","56,520,000",NMC,0.153645833333333
97389,2017-12-15,3.93,3.96,3.46,3.83,"730,462","57,983,000",NMC,-0.0254452926208652
97390,2017-12-14,3.47,4.12,3.45,3.94,"1,268,850","51,128,300",NMC,0.135446685878962
97391,2017-12-13,3.07,4.24,2.99,3.48,"1,700,900","45,196,000",NMC,0.133550488599349
97392,2017-12-12,2.89,3.15,2.83,3.04,"612,700","42,545,700",NMC,0.0519031141868512
97393,2017-12-11,2.65,3.07,2.65,2.89,"530,923","39,123,200",NMC,0.0905660377358491
97394,2017-12-10,2.86,2.86,2.55,2.66,"246,317","42,169,800",NMC,-0.0699300699300698
97395,2017-12-09,2.91,3.01,2.66,2.86,"296,475","42,887,700",NMC,-0.0171821305841925
97396,2017-12-08,2.81,2.97,2.52,2.91,"698,644","41,434,300",NMC,0.0355871886120997
97397,2017-12-07,2.5,2.82,2.43,2.82,"1,042,260","36,783,400",NMC,0.128
97398,2017-12-06,2.89,3.03,2.41,2.5,"1,734,590","42,654,100",NMC,-0.134948096885813
97399,2017-12-05,2.38,3.18,2.3,2.91,"5,184,740","35,062,600",NMC,0.22268907563025198
97400,2017-12-04,2.3,2.4,2.23,2.38,"267,053","33,920,000",NMC,0.0347826086956522
97401,2017-12-03,2.4,2.55,2.15,2.3,"496,224","35,420,300",NMC,-0.0416666666666667
97402,2017-12-02,2.46,2.48,2.37,2.39,"208,115","36,311,100",NMC,-0.0284552845528455
97403,2017-12-01,2.35,2.49,2.18,2.45,"421,603","34,589,400",NMC,0.0425531914893617
97404,2017-11-30,2.4,2.72,2.13,2.34,"690,465","35,367,100",NMC,-0.025
97405,2017-11-29,2.08,2.94,2.01,2.39,"3,785,280","30,676,100",NMC,0.149038461538462
97406,2017-11-28,1.94,2.13,1.93,2.03,"614,490","28,626,700",NMC,0.0463917525773195
97407,2017-11-27,1.73,2.07,1.7,1.94,"730,630","25,564,200",NMC,0.12138728323699399
97408,2017-11-26,1.73,1.81,1.7,1.73,"331,006","25,531,400",NMC,0.0
97409,2017-11-25,1.66,1.79,1.64,1.73,"333,293","24,427,300",NMC,0.0421686746987952
97410,2017-11-24,1.6,1.67,1.58,1.67,"230,436","23,625,900",NMC,0.0437499999999999
97411,2017-11-23,1.6,1.62,1.56,1.6,"205,220","23,590,700",NMC,0.0
97412,2017-11-22,1.46,1.63,1.44,1.6,"341,967","21,568,800",NMC,0.0958904109589042
97413,2017-11-21,1.5,1.53,1.45,1.47,"129,526","22,102,100",NMC,-0.02
97414,2017-11-20,1.53,1.55,1.5,1.51,"98,520","22,608,900",NMC,-0.0130718954248366
97415,2017-11-19,1.58,1.6,1.52,1.54,"107,091","23,222,100",NMC,-0.0253164556962026
97416,2017-11-18,1.55,1.61,1.5,1.6,"155,497","22,862,700",NMC,0.0322580645161291
97417,2017-11-17,1.47,1.61,1.43,1.55,"311,796","21,618,700",NMC,0.054421768707483
97418,2017-11-16,1.48,1.51,1.44,1.47,"170,890","21,783,000",NMC,-0.00675675675675676
97419,2017-11-15,1.39,1.5,1.39,1.48,"132,818","20,501,400",NMC,0.064748201438849
97420,2017-11-14,1.39,1.41,1.36,1.39,"120,290","20,465,400",NMC,0.0
97421,2017-11-13,1.36,1.43,1.35,1.39,"301,701","20,010,500",NMC,0.0220588235294116
97422,2017-11-12,1.48,1.49,1.31,1.36,"287,182","21,752,000",NMC,-0.081081081081081
97423,2017-11-11,1.43,1.51,1.39,1.47,"288,577","21,049,800",NMC,0.027972027972028
97424,2017-11-10,1.62,1.72,1.4,1.41,"505,676","23,909,100",NMC,-0.12962962962963
97425,2017-11-09,1.52,1.66,1.49,1.62,"464,672","22,352,300",NMC,0.0657894736842106
97426,2017-11-08,1.39,1.61,1.39,1.52,"458,322","20,556,200",NMC,0.0935251798561152
97427,2017-11-07,1.3,1.51,1.28,1.43,"420,203","19,107,100",NMC,0.0999999999999999
97428,2017-11-06,1.28,1.31,1.24,1.28,"149,644","18,913,900",NMC,0.0
97429,2017-11-05,1.28,1.34,1.25,1.28,"167,644","18,794,600",NMC,0.0
97430,2017-11-04,1.23,1.3,1.21,1.28,"95,529","18,197,900",NMC,0.0406504065040651
97431,2017-11-03,1.24,1.28,1.23,1.24,"112,013","18,252,400",NMC,0.0
97432,2017-11-02,1.3,1.32,1.21,1.24,"215,628","19,091,100",NMC,-0.0461538461538462
97433,2017-11-01,1.13,1.35,1.1,1.29,"448,233","16,642,100",NMC,0.141592920353982
97434,2017-10-31,1.09,1.14,1.08,1.13,"94,949","16,113,200",NMC,0.0366972477064218
97435,2017-10-30,1.12,1.13,1.04,1.1,"107,086","16,553,700",NMC,-0.0178571428571429
97436,2017-10-29,1.08,1.14,1.07,1.12,"82,333","15,904,000",NMC,0.0370370370370371
97437,2017-10-28,1.09,1.11,1.07,1.08,"69,465","16,048,200",NMC,-0.009174311926605509
97438,2017-10-27,1.13,1.14,1.08,1.09,"34,444","16,616,500",NMC,-0.0353982300884954
97439,2017-10-26,1.11,1.15,1.1,1.13,"61,893","16,331,100",NMC,0.0180180180180178
97440,2017-10-25,1.15,1.15,1.08,1.12,"121,635","16,927,600",NMC,-0.026086956521739
97441,2017-10-24,1.14,1.2,1.11,1.13,"127,644","16,781,200",NMC,-0.00877192982456141
97442,2017-10-23,1.23,1.23,1.12,1.14,"87,795","18,110,600",NMC,-0.0731707317073171
97443,2017-10-22,1.22,1.26,1.19,1.23,"79,208","17,948,500",NMC,0.00819672131147542
97444,2017-10-21,1.24,1.24,1.19,1.22,"109,386","18,286,700",NMC,-0.0161290322580645
97445,2017-10-20,1.18,1.26,1.15,1.24,"245,321","17,395,100",NMC,0.0508474576271187
97446,2017-10-19,1.14,1.18,1.12,1.18,"123,589","16,773,300",NMC,0.0350877192982456
97447,2017-10-18,1.16,1.17,1.06,1.13,"103,081","17,155,800",NMC,-0.0258620689655173
97448,2017-10-17,1.18,1.19,1.11,1.16,"111,853","17,387,300",NMC,-0.0169491525423729
97449,2017-10-16,1.2,1.2,1.11,1.18,"132,120","17,617,000",NMC,-0.0166666666666667
97450,2017-10-15,1.21,1.24,1.14,1.19,"150,658","17,886,000",NMC,-0.0165289256198347
97451,2017-10-14,1.19,1.22,1.17,1.21,"92,172","17,481,600",NMC,0.0168067226890756
97452,2017-10-13,1.2,1.26,1.16,1.19,"189,530","17,736,900",NMC,-0.00833333333333334
97453,2017-10-12,1.21,1.29,1.17,1.21,"409,896","17,882,800",NMC,0.0
97454,2017-10-11,1.22,1.26,1.17,1.22,"130,633","17,972,600",NMC,0.0
97455,2017-10-10,1.26,1.27,1.18,1.2,"199,784","18,496,300",NMC,-0.0476190476190477
97456,2017-10-09,1.3,1.32,1.24,1.26,"122,592","19,223,600",NMC,-0.0307692307692308
97457,2017-10-08,1.36,1.36,1.3,1.3,"66,049","20,003,800",NMC,-0.0441176470588236
97458,2017-10-07,1.21,1.37,1.18,1.37,"225,572","17,776,300",NMC,0.13223140495867802
97459,2017-10-06,1.21,1.23,1.17,1.2,"123,612","17,894,800",NMC,-0.008264462809917359
97460,2017-10-05,1.25,1.26,1.18,1.21,"132,066","18,385,600",NMC,-0.032
97461,2017-10-04,1.27,1.29,1.24,1.24,"138,769","18,787,300",NMC,-0.0236220472440945
97462,2017-10-03,1.31,1.34,1.26,1.27,"192,019","19,367,900",NMC,-0.0305343511450382
97463,2017-10-02,1.39,1.4,1.31,1.31,"201,548","20,475,300",NMC,-0.0575539568345323
97464,2017-10-01,1.38,1.4,1.36,1.39,"57,698","20,301,500",NMC,0.007246376811594209
97465,2017-09-30,1.39,1.41,1.35,1.38,"123,252","20,530,300",NMC,-0.00719424460431655
97466,2017-09-29,1.43,1.44,1.37,1.39,"77,718","21,119,800",NMC,-0.027972027972028
97467,2017-09-28,1.5,1.54,1.42,1.44,"219,634","22,074,700",NMC,-0.04
97468,2017-09-27,1.37,1.53,1.33,1.5,"305,234","20,137,900",NMC,0.094890510948905
97469,2017-09-26,1.39,1.42,1.36,1.37,"118,438","20,550,600",NMC,-0.0143884892086329
97470,2017-09-25,1.38,1.42,1.35,1.4,"117,121","20,362,100",NMC,0.0144927536231884
97471,2017-09-24,1.43,1.47,1.36,1.38,"101,110","21,006,900",NMC,-0.034965034965035
97472,2017-09-23,1.34,1.47,1.31,1.43,"166,766","19,738,300",NMC,0.0671641791044775
97473,2017-09-22,1.31,1.38,1.3,1.34,"144,795","19,238,100",NMC,0.0229007633587786
97474,2017-09-21,1.36,1.41,1.21,1.22,"124,760","20,028,900",NMC,-0.10294117647058802
97475,2017-09-20,1.47,1.5,1.35,1.37,"63,952","21,597,400",NMC,-0.0680272108843537
97476,2017-09-19,1.53,1.66,1.4,1.47,"127,061","22,554,500",NMC,-0.0392156862745098
97477,2017-09-18,1.31,1.55,1.18,1.54,"79,746","19,307,900",NMC,0.175572519083969
97478,2017-09-17,1.23,1.37,1.13,1.31,"92,170","18,072,000",NMC,0.0650406504065041
97479,2017-09-16,1.12,1.41,1.1,1.23,"163,751","16,539,500",NMC,0.0982142857142856
97480,2017-09-15,0.90299,1.15,0.691836,1.13,"127,502","13,306,800",NMC,0.251398132869688
97481,2017-09-14,1.43,1.57,0.887899,0.9025569999999999,"197,436","21,049,600",NMC,-0.368841258741259
97482,2017-09-13,1.5,1.54,1.31,1.43,"117,384","22,065,900",NMC,-0.0466666666666667
97483,2017-09-12,1.55,1.63,1.46,1.5,"115,829","22,897,600",NMC,-0.0322580645161291
97484,2017-09-11,1.58,1.64,1.51,1.55,"83,098","23,294,000",NMC,-0.0189873417721519
97485,2017-09-10,1.67,1.7,1.52,1.58,"87,060","24,683,100",NMC,-0.0538922155688622
97486,2017-09-09,1.58,1.68,1.52,1.67,"71,411","23,215,500",NMC,0.0569620253164556
97487,2017-09-08,1.87,1.88,1.54,1.57,"132,662","27,535,800",NMC,-0.16042780748663096
97488,2017-09-07,1.86,2.0,1.78,1.88,"118,540","27,367,200",NMC,0.0107526881720429
97489,2017-09-06,1.8,1.92,1.78,1.85,"136,430","26,465,800",NMC,0.0277777777777778
97490,2017-09-05,1.66,1.84,1.52,1.8,"197,545","24,487,700",NMC,0.0843373493975904
97491,2017-09-04,2.0,2.0,1.64,1.67,"149,983","29,429,300",NMC,-0.165
97492,2017-09-03,1.97,2.02,1.86,2.0,"100,735","29,088,300",NMC,0.0152284263959391
97493,2017-09-02,2.16,2.16,1.91,1.98,"94,645","31,883,600",NMC,-0.0833333333333334
97494,2017-09-01,2.08,2.18,2.0,2.15,"172,163","30,687,600",NMC,0.0336538461538461
97495,2017-08-31,1.92,2.12,1.92,2.08,"156,628","28,309,900",NMC,0.0833333333333334
